timestamp,x,y,theta,vx,wz
1782660233.767017,-1.0692,-2.1255,2.3713,-0.0000,-0.0041
1782673393.450162,0.0000,0.0000,0.0000,0.0000,0.0000
1782675219.109652,4.6895,11.7844,0.6784,0.4000,0.0546
1782675219.159634,4.7051,11.7970,0.6811,0.4000,-0.0159
1782675219.210097,4.7208,11.8097,0.6803,0.4000,-0.0000
1782675219.259830,4.7365,11.8224,0.6803,0.4000,0.0342
1782675219.309890,4.7521,11.8351,0.6820,0.4000,0.0136
1782675219.359782,4.7678,11.8478,0.6827,0.4000,0.0563
1782675219.409731,4.7833,11.8605,0.6856,0.4000,0.0710
1782675219.459828,4.7990,11.8732,0.6891,0.4000,0.0218
1782675219.509734,4.8145,11.8860,0.6902,0.4000,0.0406
1782675219.559842,4.8302,11.8990,0.6923,0.4000,0.0292
1782675219.609683,4.8456,11.9118,0.6938,0.4000,0.0692
1782675219.659697,4.8611,11.9246,0.6973,0.4000,0.0268
1782675219.709953,4.8766,11.9377,0.6986,0.4000,0.0367
1782675219.759717,4.8920,11.9506,0.7005,0.4000,0.0243
1782675219.809842,4.9074,11.9635,0.7017,0.4000,0.0365
1782675219.859869,4.9227,11.9765,0.7035,0.4000,0.0358
1782675219.909692,4.9381,11.9896,0.7053,0.4000,0.0548
1782675219.959694,4.9534,12.0026,0.7081,0.4000,0.0456
1782675220.009707,4.9687,12.0157,0.7104,0.4000,0.0501
1782675220.059696,4.9840,12.0288,0.7129,0.4000,0.0039
1782675220.109722,4.9992,12.0420,0.7131,0.4000,0.0562
1782675220.160212,5.0144,12.0552,0.7159,0.4000,0.0386
1782675220.209880,5.0297,12.0684,0.7179,0.4000,0.0089
1782675220.259838,5.0448,12.0817,0.7183,0.4000,0.0283
1782675220.309822,5.0600,12.0949,0.7198,0.4000,0.0956
1782675220.359967,5.0752,12.1082,0.7246,0.4000,0.0704
1782675220.409882,5.0903,12.1216,0.7282,0.4000,0.2039
1782675220.459933,5.1054,12.1351,0.7384,0.4000,0.2574
1782675220.509970,5.1203,12.1487,0.7515,0.4000,0.3890
1782675220.559930,5.1351,12.1625,0.7711,0.4000,0.5006
1782675220.609678,5.1494,12.1764,0.7961,0.4000,0.4454
1782675220.659815,5.1635,12.1908,0.8184,0.4000,0.3516
1782675220.709700,5.1773,12.2055,0.8362,0.4000,0.3284
1782675220.760157,5.1908,12.2205,0.8527,0.4000,0.2763
1782675220.809710,5.2040,12.2356,0.8665,0.4000,0.2481
1782675220.859748,5.2170,12.2509,0.8790,0.4000,0.2620
1782675220.909829,5.2299,12.2665,0.8922,0.4000,0.2791
1782675220.959837,5.2426,12.2822,0.9063,0.4000,0.1960
1782675221.009825,5.2550,12.2981,0.9162,0.4000,0.1518
1782675221.059849,5.2673,12.3141,0.9238,0.4000,0.1279
1782675221.109803,5.2794,12.3302,0.9303,0.4000,0.1279
1782675221.159780,5.2915,12.3463,0.9367,0.4000,0.1052
1782675221.209736,5.3034,12.3626,0.9420,0.4000,0.1208
1782675221.260198,5.3153,12.3789,0.9481,0.4000,0.1166
1782675221.309913,5.3271,12.3953,0.9540,0.4000,0.1109
1782675221.360054,5.3388,12.4118,0.9596,0.4000,0.0975
1782675221.409894,5.3503,12.4283,0.9645,0.4000,0.1421
1782675221.459802,5.3618,12.4448,0.9717,0.4000,0.1616
1782675221.509790,5.3732,12.4615,0.9799,0.4000,0.1629
1782675221.559719,5.3844,12.4782,0.9880,0.4000,0.1035
1782675221.609842,5.3955,12.4951,0.9933,0.4000,0.1316
1782675221.659691,5.4065,12.5120,0.9999,0.4000,0.1246
1782675221.709842,5.4174,12.5289,1.0062,0.4000,0.1435
1782675221.759825,5.4282,12.5459,1.0134,0.4000,0.1466
1782675221.809724,5.4388,12.5630,1.0208,0.4000,0.1613
1782675221.859765,5.4493,12.5801,1.0289,0.4000,0.1327
1782675221.909663,5.4597,12.5974,1.0356,0.4000,0.1557
1782675221.959728,5.4700,12.6148,1.0435,0.4000,0.1507
1782675222.009859,5.4801,12.6321,1.0511,0.4000,0.1847
1782675222.059860,5.4901,12.6496,1.0604,0.4000,0.1149
1782675222.109777,5.5000,12.6672,1.0662,0.4000,0.1815
1782675222.159712,5.5097,12.6848,1.0753,0.4000,0.1211
1782675222.209700,5.5193,12.7025,1.0814,0.4000,0.1632
1782675222.259759,5.5287,12.7203,1.0896,0.4000,0.1937
1782675222.309780,5.5381,12.7382,1.0994,0.4000,0.2132
1782675222.359684,5.5472,12.7561,1.1101,0.4000,0.2818
1782675222.409707,5.5562,12.7742,1.1243,0.4000,0.3675
